yahoo_file,num_samples,num_anomalies,anomaly_ratio,auc,aupr,f1,precision,recall
real_1,85,81,0.9529411764705882,1.0,1.0000000000000002,0.6829268292682926,1.0,0.5185185185185185
real_2,89,79,0.8876404494382022,0.9924050632911393,0.9991064780342517,0.7154471544715447,1.0,0.5569620253164557
real_3,94,14,0.14893617021276595,1.0,0.9999999999999998,1.0,1.0,1.0
real_4,86,37,0.43023255813953487,0.9829012686155543,0.9608242007282213,0.9736842105263158,0.9487179487179487,1.0
real_6,89,8,0.0898876404494382,0.9969135802469136,0.9704861111111112,0.9411764705882353,0.8888888888888888,1.0
real_7,86,86,1.0,1.0,1.0,1.0,1.0,1.0
real_8,85,85,1.0,1.0,1.0,1.0,1.0,1.0
real_9,94,94,1.0,1.0,1.0,1.0,1.0,1.0
real_10,89,13,0.14606741573033707,0.8755060728744939,0.7906593406593405,0.8181818181818181,1.0,0.6923076923076923
real_11,89,24,0.2696629213483146,0.9756410256410257,0.9351861310885016,0.9056603773584906,0.8275862068965517,1.0
real_12,89,6,0.06741573033707865,1.0,1.0,1.0,1.0,1.0
real_13,89,8,0.0898876404494382,0.9984567901234568,0.9861111111111112,0.9411764705882353,0.8888888888888888,1.0
real_15,89,8,0.0898876404494382,0.9969135802469136,0.9704861111111112,0.9411764705882353,0.8888888888888888,1.0
real_16,94,94,1.0,1.0,1.0,1.0,1.0,1.0
real_17,86,78,0.9069767441860465,0.9615384615384616,0.9962462542220547,0.7107438016528926,1.0,0.5512820512820513
real_19,86,78,0.9069767441860465,0.967948717948718,0.996849975616005,0.7107438016528926,1.0,0.5512820512820513
real_20,86,86,1.0,1.0,1.0,1.0,1.0,1.0
real_21,85,85,1.0,1.0,1.0,1.0,1.0,1.0
real_22,85,63,0.7411764705882353,0.961038961038961,0.9876990792776581,0.8,1.0,0.6666666666666666
real_23,85,19,0.2235294117647059,0.9840510366826156,0.8996462925031443,0.9500000000000001,0.9047619047619048,1.0
real_24,94,94,1.0,1.0,1.0,1.0,1.0,1.0
real_25,88,43,0.48863636363636365,0.9731266149870801,0.9815949389646264,0.963855421686747,1.0,0.9302325581395349
real_26,88,9,0.10227272727272728,0.4345991561181434,0.09575193385866629,0.11764705882352941,0.07142857142857142,0.3333333333333333
real_27,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_28,90,90,1.0,1.0,1.0,1.0,1.0,1.0
real_29,90,90,1.0,1.0,1.0,1.0,1.0,1.0
real_30,94,10,0.10638297872340426,1.0,0.9999999999999999,1.0,1.0,1.0
real_31,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_32,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_33,89,6,0.06741573033707865,1.0,1.0,1.0,1.0,1.0
real_34,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_37,88,88,1.0,1.0,1.0,1.0,1.0,1.0
real_38,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_39,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_40,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_41,88,67,0.7613636363636364,0.9879175550817342,0.9965502890437044,0.7927927927927928,1.0,0.6567164179104478
real_42,89,59,0.6629213483146067,0.9898305084745762,0.9954799779765181,0.8543689320388349,1.0,0.7457627118644068
real_43,89,89,1.0,1.0,1.0,1.0,1.0,1.0
real_45,89,89,1.0,1.0,1.0,1.0,1.0,1.0
real_46,90,90,1.0,1.0,1.0,1.0,1.0,1.0
real_47,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_50,89,7,0.07865168539325842,0.9878048780487805,0.7545918367346939,0.9333333333333333,0.875,1.0
real_51,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_52,88,88,1.0,1.0,1.0,1.0,1.0,1.0
real_53,94,94,1.0,1.0,1.0,1.0,1.0,1.0
real_55,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_56,87,87,1.0,1.0,1.0,1.0,1.0,1.0
real_57,90,90,1.0,1.0,1.0,1.0,1.0,1.0
real_58,88,43,0.48863636363636365,0.9457364341085271,0.9651282585456721,0.9268292682926831,0.9743589743589743,0.8837209302325582
real_60,94,51,0.5425531914893617,0.907888736890105,0.9426637189980217,0.8775510204081632,0.9148936170212766,0.8431372549019608
real_61,90,1,0.011111111111111112,0.4606741573033708,0.02040816326530612,0.0,0.0,0.0
real_62,1,1,1.0,1.0,1.0,1.0,1.0,1.0
real_63,89,8,0.0898876404494382,0.7361111111111112,0.28411547743444293,0.30769230769230765,0.2222222222222222,0.5
real_65,86,86,1.0,1.0,1.0,1.0,1.0,1.0
real_66,86,86,1.0,1.0,1.0,1.0,1.0,1.0
real_67,86,39,0.45348837209302323,0.994544462629569,0.9940728780721741,0.9743589743589743,0.9743589743589743,0.9743589743589743
